Date,Open,High,Low,Close,Adj Close,Volume
2022-01-03,9.350000,9.430000,9.300000,9.420000,9.420000,310800
2022-01-04,9.320000,9.340000,9.270000,9.310000,9.310000,330500
2022-01-05,9.080000,9.110000,8.630000,8.730000,8.730000,639200
2022-01-06,8.870000,9.050000,8.840000,9.000000,9.000000,292700
2022-01-07,9.100000,9.200000,9.100000,9.130000,9.130000,384300
2022-01-10,9.050000,9.150000,9.010000,9.130000,9.130000,198800
2022-01-11,9.140000,9.210000,9.060000,9.190000,9.190000,181000
2022-01-12,9.280000,9.300000,9.180000,9.250000,9.250000,193800
2022-01-13,8.890000,8.920000,8.700000,8.770000,8.770000,799100
2022-01-14,8.570000,8.770000,8.550000,8.750000,8.750000,627500
2022-01-18,7.850000,7.990000,7.710000,7.810000,7.810000,1719300
2022-01-19,8.300000,8.350000,8.210000,8.290000,8.290000,677600
2022-01-20,8.180000,8.320000,8.010000,8.010000,8.010000,743900
2022-01-21,8.130000,8.170000,7.930000,7.950000,7.950000,1198000
2022-01-24,7.290000,7.490000,7.170000,7.460000,7.460000,1408800
2022-01-25,7.420000,7.720000,7.300000,7.700000,7.700000,1050100
2022-01-26,7.710000,7.720000,7.500000,7.510000,7.510000,632100
2022-01-27,8.300000,8.390000,8.210000,8.270000,8.270000,1095800
2022-01-28,8.530000,8.540000,8.390000,8.450000,8.450000,523300
2022-01-31,8.600000,8.670000,8.560000,8.650000,8.650000,679600
2022-02-01,8.610000,8.630000,8.450000,8.600000,8.600000,580800
2022-02-02,8.670000,8.720000,8.600000,8.710000,8.710000,609300
2022-02-03,8.500000,8.530000,8.370000,8.440000,8.440000,628100
2022-02-04,8.470000,8.600000,8.410000,8.570000,8.570000,338800
2022-02-07,8.460000,8.520000,8.430000,8.500000,8.500000,572100
2022-02-08,8.730000,8.830000,8.720000,8.800000,8.800000,783900
2022-02-09,8.960000,9.000000,8.920000,8.930000,8.930000,742200
2022-02-10,8.800000,8.930000,8.750000,8.800000,8.800000,356000
2022-02-11,8.590000,8.610000,8.150000,8.220000,8.220000,1382400
2022-02-14,8.440000,8.480000,8.200000,8.370000,8.370000,525800
2022-02-15,8.760000,8.880000,8.690000,8.850000,8.850000,680400
2022-02-16,8.850000,8.990000,8.850000,8.970000,8.970000,360500
2022-02-17,8.580000,8.620000,8.430000,8.450000,8.450000,905600
2022-02-18,8.130000,8.210000,7.970000,8.030000,8.030000,972600
2022-02-22,6.950000,7.260000,6.760000,7.160000,7.160000,3591700
2022-02-23,6.630000,6.740000,6.250000,6.250000,6.250000,2090000
2022-02-24,4.180000,5.330000,4.050000,5.260000,5.260000,8294100
2022-02-25,5.510000,5.890000,5.020000,5.300000,5.300000,4190100
2022-02-28,2.800000,3.450000,2.660000,3.070000,3.070000,20595900
2022-03-01,2.200000,3.950000,2.140000,2.800000,2.800000,10329700
2022-03-02,2.700000,2.970000,2.000000,2.060000,2.060000,7369100
2022-03-03,1.720000,1.750000,1.100000,1.100000,1.100000,790200
2022-03-04,1.100000,1.100000,1.100000,1.100000,1.100000,0
2022-03-07,1.100000,1.100000,1.100000,1.100000,1.100000,0
2022-03-08,1.100000,1.100000,1.100000,1.100000,1.100000,0
2022-03-09,1.100000,1.100000,1.100000,1.100000,1.100000,0
2022-03-10,1.100000,1.100000,1.100000,1.100000,1.100000,0
2022-03-11,1.100000,1.100000,1.100000,1.100000,1.100000,0
2022-03-14,1.100000,1.100000,1.100000,1.100000,1.100000,0
2022-03-15,1.100000,1.100000,1.100000,1.100000,1.100000,0
2022-03-16,1.100000,1.100000,1.100000,1.100000,1.100000,0
2022-03-17,1.100000,1.100000,1.100000,1.100000,1.100000,0
2022-03-18,1.100000,1.100000,1.100000,1.100000,1.100000,0
2022-03-21,1.100000,1.100000,1.100000,1.100000,1.100000,0
2022-03-22,1.100000,1.100000,1.100000,1.100000,1.100000,0
2022-03-23,1.100000,1.100000,1.100000,1.100000,1.100000,0
2022-03-24,1.100000,1.100000,1.100000,1.100000,1.100000,0
2022-03-25,1.100000,1.100000,1.100000,1.100000,1.100000,0
2022-03-28,1.100000,1.100000,1.100000,1.100000,1.100000,0
2022-03-29,1.100000,1.100000,1.100000,1.100000,1.100000,0
2022-03-30,1.100000,1.100000,1.100000,1.100000,1.100000,0
2022-03-31,1.100000,1.100000,1.100000,1.100000,1.100000,0
2022-04-01,1.100000,1.100000,1.100000,1.100000,1.100000,0
2022-04-04,1.100000,1.100000,1.100000,1.100000,1.100000,0
2022-04-05,1.100000,1.100000,1.100000,1.100000,1.100000,0
2022-04-06,1.100000,1.100000,1.100000,1.100000,1.100000,0
2022-04-07,1.100000,1.100000,1.100000,1.100000,1.100000,0
2022-04-08,1.100000,1.100000,1.100000,1.100000,1.100000,0
2022-04-11,1.100000,1.100000,1.100000,1.100000,1.100000,0
2022-04-12,1.100000,1.100000,1.100000,1.100000,1.100000,0
2022-04-13,1.100000,1.100000,1.100000,1.100000,1.100000,0
2022-04-14,1.100000,1.100000,1.100000,1.100000,1.100000,0
2022-04-18,1.100000,1.100000,1.100000,1.100000,1.100000,0
2022-04-19,1.100000,1.100000,1.100000,1.100000,1.100000,0
2022-04-20,1.100000,1.100000,1.100000,1.100000,1.100000,0
2022-04-21,1.100000,1.100000,1.100000,1.100000,1.100000,0
2022-04-22,1.100000,1.100000,1.100000,1.100000,1.100000,0
2022-04-25,1.100000,1.100000,1.100000,1.100000,1.100000,0
2022-04-26,1.100000,1.100000,1.100000,1.100000,1.100000,0
2022-04-27,1.100000,1.100000,1.100000,1.100000,1.100000,0
2022-04-28,1.100000,1.100000,1.100000,1.100000,1.100000,0
2022-04-29,1.100000,1.100000,1.100000,1.100000,1.100000,0
2022-05-02,1.100000,1.100000,1.100000,1.100000,1.100000,0
2022-05-03,1.100000,1.100000,1.100000,1.100000,1.100000,0
2022-05-04,1.100000,1.100000,1.100000,1.100000,1.100000,0
2022-05-05,1.100000,1.100000,1.100000,1.100000,1.100000,0
2022-05-06,2.800000,2.800000,2.800000,2.800000,2.800000,0
2022-05-09,2.800000,2.800000,2.800000,2.800000,2.800000,0
2022-05-10,2.800000,2.800000,2.800000,2.800000,2.800000,0
2022-05-11,1.100000,1.100000,1.100000,1.100000,1.100000,0
2022-05-12,1.100000,1.100000,1.100000,1.100000,1.100000,0
2022-05-13,1.100000,1.100000,1.100000,1.100000,1.100000,0
2022-05-16,1.100000,1.100000,1.100000,1.100000,1.100000,0
2022-05-17,1.100000,1.100000,1.100000,1.100000,1.100000,0
2022-05-18,1.100000,1.100000,1.100000,1.100000,1.100000,0
2022-05-19,1.100000,1.100000,1.100000,1.100000,1.100000,0
2022-05-20,1.100000,1.100000,1.100000,1.100000,1.100000,0
2022-05-23,1.100000,1.100000,1.100000,1.100000,1.100000,0
2022-05-24,1.100000,1.100000,1.100000,1.100000,1.100000,0
2022-05-25,1.100000,1.100000,1.100000,1.100000,1.100000,0
2022-05-26,1.100000,1.100000,1.100000,1.100000,1.100000,0
2022-05-27,1.100000,1.100000,1.100000,1.100000,1.100000,0
2022-05-31,1.100000,1.100000,1.100000,1.100000,1.100000,0
2022-06-01,1.100000,1.100000,1.100000,1.100000,1.100000,0
2022-06-02,1.100000,1.100000,1.100000,1.100000,1.100000,0
2022-06-03,1.100000,1.100000,1.100000,1.100000,1.100000,0
2022-06-06,1.100000,1.100000,1.100000,1.100000,1.100000,0
2022-06-07,1.100000,1.100000,1.100000,1.100000,1.100000,0
2022-06-08,1.100000,1.100000,1.100000,1.100000,1.100000,0
2022-06-09,1.100000,1.100000,1.100000,1.100000,1.100000,0
2022-06-10,1.100000,1.100000,1.100000,1.100000,1.100000,0
2022-06-13,1.100000,1.100000,1.100000,1.100000,1.100000,0
2022-06-14,1.100000,1.100000,1.100000,1.100000,1.100000,0
2022-06-15,1.100000,1.100000,1.100000,1.100000,1.100000,0
2022-06-16,1.100000,1.100000,1.100000,1.100000,1.100000,0
2022-06-17,1.100000,1.100000,1.100000,1.100000,1.100000,0
2022-06-21,1.100000,1.100000,1.100000,1.100000,1.100000,0
2022-06-22,1.100000,1.100000,1.100000,1.100000,1.100000,0
2022-06-23,1.100000,1.100000,1.100000,1.100000,1.100000,0
2022-06-24,1.100000,1.100000,1.100000,1.100000,1.100000,0
2022-06-27,1.100000,1.100000,1.100000,1.100000,1.100000,0
2022-06-28,1.100000,1.100000,1.100000,1.100000,1.100000,0
2022-06-29,1.100000,1.100000,1.100000,1.100000,1.100000,0
2022-06-30,1.100000,1.100000,1.100000,1.100000,1.100000,0
2022-07-01,1.100000,1.100000,1.100000,1.100000,1.100000,0
2022-07-05,1.100000,1.100000,1.100000,1.100000,1.100000,0
2022-07-06,1.100000,1.100000,1.100000,1.100000,1.100000,0
2022-07-07,1.100000,1.100000,1.100000,1.100000,1.100000,0
2022-07-08,1.100000,1.100000,1.100000,1.100000,1.100000,0
2022-07-11,1.100000,1.100000,1.100000,1.100000,1.100000,0
2022-07-12,1.100000,1.100000,1.100000,1.100000,1.100000,0
2022-07-13,1.100000,1.100000,1.100000,1.100000,1.100000,0
2022-07-14,1.100000,1.100000,1.100000,1.100000,1.100000,0
2022-07-15,1.100000,1.100000,1.100000,1.100000,1.100000,0
2022-07-18,1.100000,1.100000,1.100000,1.100000,1.100000,0
2022-07-19,1.100000,1.100000,1.100000,1.100000,1.100000,0
2022-07-20,1.100000,1.100000,1.100000,1.100000,1.100000,0
2022-07-21,1.100000,1.100000,1.100000,1.100000,1.100000,0
2022-07-22,1.100000,1.100000,1.100000,1.100000,1.100000,0
2022-07-25,1.100000,1.100000,1.100000,1.100000,1.100000,0
2022-07-26,1.100000,1.100000,1.100000,1.100000,1.100000,0
2022-07-27,1.100000,1.100000,1.100000,1.100000,1.100000,0
2022-07-28,1.100000,1.100000,1.100000,1.100000,1.100000,0
2022-07-29,1.100000,1.100000,1.100000,1.100000,1.100000,0
2022-08-01,1.100000,1.100000,1.100000,1.100000,1.100000,0
