Date,IMOEX.ME,GAZP,LKOH,ROSN,AVAN,USBN,RDRB,AVAN.USD,USBN.USD,RDRB.USD,GAZP.USD,LKOH.USD,ROSN.USD
1/3/22,3852.5,353.73,"6,683.00",610.95,"1,025.00",0.0881,206.3,17.425,0.0014977,3.5071,6.01341,113.611,10.38615
1/4/22,3873.48999,352.55,"6,728.00",613.5,"1,025.00",0.0977,206.3,17.425,0.0016609,3.5071,5.99335,114.376,10.4295
1/5/22,3815.050049,335,"6,522.00",590.3,"1,020.00",0.1,206.3,17.34,0.0017,3.5071,5.695,110.874,10.0351
1/6/22,3753.290039,346.13,"6,699.00",601.6,"1,025.00",0.0988,206.3,17.425,0.0016796,3.5071,5.88421,113.883,10.2272
1/7/22,3738.679932,344,"6,775.00",602,"1,005.00",0.098,206.3,17.085,0.001666,3.5071,5.848,115.175,10.234
1/10/22,3785.290039,343.74,"6,816.00",613.6,"1,020.00",0.0979,206.3,17.34,0.0016643,3.5071,5.84358,115.872,10.4312
1/11/22,3829.949951,347.43,"6,960.00",627.7,"1,050.00",0.0971,204.26,17.85,0.0016507,3.47242,5.90631,118.32,10.6709
1/12/22,3674.72998,337.6,"6,665.00",603.3,"1,040.00",0.0979,202.21,17.68,0.0016643,3.43757,5.7392,113.305,10.2561
1/13/22,3596.97998,335.76,"6,659.00",605.5,"1,020.00",0.0977,208.34,17.34,0.0016609,3.54178,5.70792,113.203,10.2935
1/14/22,3560.350098,327.81,"6,516.00",592.55,"1,040.00",0.0948,204.26,17.68,0.0016116,3.47242,5.57277,110.772,10.07335
1/18/22,3328.939941,301.11,"6,250.00",544.8,"1,020.00",0.0938,196.09,17.34,0.0015946,3.33353,5.11887,106.25,9.2616
1/19/22,3436.820068,318.36,"6,494.00",566.9,"1,020.00",0.0876,196.09,17.34,0.0014892,3.33353,5.41212,110.398,9.6373
1/20/22,3516.02002,310.42,"6,430.00",561.7,"1,035.00",0.0881,192,17.595,0.0014977,3.264,5.27714,109.31,9.5489
1/21/22,3439.25,311.6,"6,420.00",564.8,"1,025.00",0.087,196.09,17.425,0.001479,3.33353,5.2972,109.14,9.6016
1/24/22,3235.280029,294.59,"6,293.00",546.9,"1,015.00",0.0888,202.21,17.255,0.0015096,3.43757,5.00803,106.981,9.2973
1/25/22,3258.73999,302.96,"6,543.00",548.4,"1,020.00",0.0835,198.13,17.34,0.0014195,3.36821,5.15032,111.231,9.3228
1/26/22,3357.659912,299.6,"6,525.50",532.75,"1,015.00",0.0834,189.96,17.255,0.0014178,3.22932,5.0932,110.9335,9.05675
1/27/22,3455.929932,325.25,"6,811.50",563.2,"1,020.00",0.0844,202.21,17.34,0.0014348,3.43757,5.52925,115.7955,9.5744
1/28/22,3488.600098,329.58,"6,775.00",566.5,"1,005.00",0.0885,200.17,17.085,0.0015045,3.40289,5.60286,115.175,9.6305
1/31/22,3530.379883,334.8,"6,878.00",576.95,"1,005.00",0.0916,202.21,17.085,0.0015572,3.43757,5.6916,116.926,9.80815
2/1/22,3548.169922,330.95,"6,976.00",574.15,"1,005.00",0.0959,200.17,17.085,0.0016303,3.40289,5.62615,118.592,9.76055
2/2/22,3543.800049,331.7,"7,040.00",575.7,"1,010.00",0.1012,204.26,17.17,0.0017204,3.47242,5.6389,119.68,9.7869
2/3/22,3471.179932,323.75,"6,865.50",569,"1,010.00",0.0974,214.47,17.17,0.0016558,3.64599,5.50375,116.7135,9.673
2/4/22,3471.01001,324.6,"7,010.00",572,"1,005.00",0.0989,204.26,17.085,0.0016813,3.47242,5.5182,119.17,9.724
2/7/22,3470.780029,321.25,"6,988.00",569.8,"1,000.00",0.0955,202.21,17,0.0016235,3.43757,5.46125,118.796,9.6866
2/8/22,3551.649902,331.7,"6,957.50",570.05,"1,010.00",0.0908,200.17,17.17,0.0015436,3.40289,5.6389,118.2775,9.69085
2/9/22,3638.929932,335.08,"6,973.50",579,"1,005.00",0.0893,196.09,17.085,0.0015181,3.33353,5.69636,118.5495,9.843
2/10/22,3655.76001,328.93,"6,984.50",569.4,"1,005.00",0.0907,228.77,17.085,0.0015419,3.88909,5.59181,118.7365,9.6798
2/11/22,3546.620117,318.1,"6,707.50",547.4,"1,000.00",0.0886,214.47,17,0.0015062,3.64599,5.4077,114.0275,9.3058
2/14/22,3481.379883,321.85,"6,796.00",556,"1,005.00",0.0859,210.38,17.085,0.0014603,3.57646,5.47145,115.532,9.452
2/15/22,3600.290039,333.6,"6,979.00",565.95,"1,000.00",0.0832,206.3,17,0.0014144,3.5071,5.6712,118.643,9.62115
2/16/22,3646.409912,336.5,"6,970.00",571.55,"1,005.00",0.0838,200.17,17.085,0.0014246,3.40289,5.7205,118.49,9.71635
2/17/22,3511.080078,323.51,"6,733.00",549.5,"1,000.00",0.086,200.17,17,0.001462,3.40289,5.49967,114.461,9.3415
2/18/22,3393.310059,309.48,"6,456.50",519.5,"1,000.00",0.0837,204.26,17,0.0014229,3.47242,5.26116,109.7605,8.8315
2/22/22,3036.879883,257.3,"5,810.00",438.7,990,0.0803,202.21,16.83,0.0013651,3.43757,4.3741,98.77,7.4579
2/23/22,3084.73999,283.51,"6,020.00",431.3,945,0.0701,200.17,16.065,0.0011917,3.40289,4.81967,102.34,7.3321
2/24/22,2058.120117,210,"4,650.00",274.7,850,0.075,177.7,14.45,0.001275,3.0209,3.57,79.05,4.6699
